profile-config,,
last-modified,name,profile-id,vendor,protocol,available-version,products-supported,plugin-class,versions-supported,device-type
2019-03-07 16:29:23,nokia-nuage,nokia-nuage,NokiaNuage,API,7.0.6,,,,
2019-03-07 16:29:23,virtuora,nokia-nuage,NokiaNuage,API,7.0.6,,,,
2019-03-07 16:28:43,brocade-fcx624,brocade-fcx624,"Brocade Communications Systems, Inc",SNMP,7.0.2,"FCX624,FCX648,ICX6610",,*,SWITCH
2019-03-07 16:28:43,arris-cherry-picker-cap1000,arris-cherry-picker-cap1000,Arris,SNMP,7.0.4,cherry-picker-cap1000,,*,VIDEO_PROCESSOR
2019-03-07 16:28:43,apc-smart-ups,apc-smart-ups,apc,SNMP,7.0.11,smart-ups,D,*,UPS
2019-03-07 16:28:43,adtran-ta-1248,adtran-ta-1248,Adtran,SNMP,7.0.2,Adtran-ta-1248,,*,DSLAM
2019-03-07 16:28:43,accedian-nid-coe,accedian-nid-coe,Accedian COE Networks,SNMP,7.0.3,Accedian-NID-COE,,*,DEMARCATION_DEVICE
2019-03-07 16:28:42,thomson-modem,thomson-modem,Thomson,SNMP,7.0.2,Thomson Modem,,,CABLE_MODEM
2019-03-07 16:28:42,tekelec-eagle,tekelec-eagle,Tekelec,ASCII,7.0.6,Eagle STP,B,*,SWITCH
2019-03-07 16:28:42,symmetricom-tp-5000,symmetricom-tp-5000,Symmetricom,SNMP,7.0.4,UNKNOWN,C1,*,UNKNOWN
2019-03-07 16:28:42,siemens-access,siemens-access,siemens,SNMP,7.0.6,siemens-access,C1,*,POWER_EQUIPMENT
2019-03-07 16:28:42,juniper-srx-3600,juniper-srx-3600,Juniper Networks,SNMP,7.0.2,SRX-3600,,*,GATEWAY
2019-03-07 16:28:42,dell-openmanager,dell-openmanager,Dell,SNMP,7.0.2,OpenManage Server Administrator,,*,MANAGER
2019-03-07 16:28:42,cisco-ons15600,cisco-ons15600,"Cisco Systems, Inc",TL1,7.0.3,ONS15600,,.*,MSPP
2019-03-07 16:28:42,cisco-as5400,cisco-as5400,"Cisco Systems, Inc",SNMP,7.0.2,Cisco AS5400 Router,,*,ROUTER
2019-03-07 16:28:42,cisco-3850,cisco-3850,Cisco,SNMP,7.0.2,Cisco,,*,SWITCH
2019-03-07 16:28:42,cisco-2621xm,cisco-2621xm,"Cisco Systems, Inc",SNMP,7.0.2,Cisco Modular Access Routers,,*,ROUTER
2019-03-07 16:28:42,cisco-12006,cisco-12006,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 12006,,*,ROUTER
2019-03-07 16:28:42,calix-e7-20,calix-e7-20,Calix,SNMP,7.0.8,E7-20,,*,ESP
2019-03-07 16:28:42,asentria-siteboss-550,asentria-siteboss-550,Asentria,SNMP,7.0.2,SiteBoss 550,,*,ESP
2019-03-07 16:28:42,alcatel-omniswitch-6850e,alcatel-omniswitch-6850e,Alcatel,SNMP,7.0.4,OmniSwitch-6850E,,*,SWITCH
2019-03-07 16:28:41,turin-traverse,shanmukh,shanmukh,TL1,7.0.4,Traverse,,.*,MSPP
2019-03-07 16:28:41,starhome-tre-platform,starhome-tre-platform,StarHome,SNMP,7.0.2,StarHome TRE platform,,*,UNKNOWN
2019-03-07 16:28:41,nokia-ixr-7250,nokia-ixr-7250,NOKIA,SNMP,7.0.2,IXR 7250,C1,13.1.R4,ROUTER
2019-03-07 16:28:41,nec-nlite,nec-nlite,NEC,SNMP,7.0.2,NLite,,*,MICROWAVE_RADIO
2019-03-07 16:28:41,extreme-summit-x400,extreme-summit-x400,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x400,,*,SWITCH
2019-03-07 16:28:41,extreme-summit-x350,extreme-summit-x350,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x350,,*,SWITCH
2019-03-07 16:28:41,extreme-blackdiamond-8800,extreme-blackdiamond-8800,"Extreme Networks, Inc.",SNMP,7.0.2,BlackDiamond 8800,,*,SWITCH
2019-03-07 16:28:41,edfa-mosman,edfa-mosman,MOSSMAN,SNMP,7.0.2,EDFA-MOSSMAN,,*,UNKNOWN
2019-03-07 16:28:41,docs3.0-motorola-modem-sb5101n,docs3.0-motorola-modem-sb5101n,Motorola,SNMP,7.0.2,Motorola SB5101N,,,CABLE_MODEM
2019-03-07 16:28:41,comverse,comverse,COMVERSE,SNMP,7.0.4,,,*,UNKNOWN
2019-03-07 16:28:41,cisco-syslog,cisco-syslog,"Cisco Systems, Inc",ASCII,7.0.2,Cisco SYSLOG,,*,SERVER
2019-03-07 16:28:41,cisco-isr-2911,cisco-isr-2911,"Cisco Systems, Inc",SNMP,7.0.14,Cisco 2911 Integrated Services Router,,*,ROUTER
2019-03-07 16:28:41,cisco-ibm-module,cisco-ibm-module,"Cisco Systems, Inc",SNMP,7.0.11,Cisco Switch 3012 for the IBM BladeCenter,D,*,SWITCH
2019-03-07 16:28:41,bti-704,bti-704,BTI,SNMP,7.0.2,BTI-704,,*,UNKNOWN
2019-03-07 16:28:41,alcatel-6124,alcatel-6124,Alcatel,SNMP,7.0.3,Alcatel Omnistack 6124,,*,SWITCH
2019-03-07 16:28:40,rxg-a4,rxg-a4,"RG Nets, Inc",SNMP,7.0.3,Revenue eXtraction Gateway,,*,GATEWAY
2019-03-07 16:28:40,metrobility-radiance-5k,metrobility-radiance-5k,Metrobility Optical Systems,SNMP,7.0.11,Metrobility Radiance R5000,C,,UNKNOWN
2019-03-07 16:28:40,extreme-summit-x460,extreme-summit-x460,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x460,,*,SWITCH
2019-03-07 16:28:40,dragonwave-horizon-quantum,dragonwave-horizon-quantum,Dragonwave Inc,SNMP,7.0.2,MICROWAVE_RADIO,,*,MICROWAVE_RADIO
2019-03-07 16:28:40,cisco-asr920,cisco-asr920,"Cisco Systems, Inc",SNMP,7.0.10,ASR 920,C1,15.5(3)S6,ROUTER
2019-03-07 16:28:40,cisco-881,cisco-881,"Cisco Systems, Inc",SNMP,7.0.10,cisco-881,D,*,ROUTER
2019-03-07 16:28:40,cisco-6509,cisco-6509,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 6509,,*,SWITCH
2019-03-07 16:28:40,arris-e6000n,arris-e6000n,ARRIS,SNMP,7.0.4,E6000n,C1,*,UNKNOWN
2019-03-07 16:28:39,verimatrix-server,verimatrix-server,Verimatrix,SNMP,7.0.2,verimatrix-server,,*,SERVER
2019-03-07 16:28:39,telvue-hypercaster-b100-iptv,telvue-hypercaster-b100-iptv,telvue,SNMP,7.0.2,B100-IPTV,,*,UNKNOWN
2019-03-07 16:28:39,ss8-ac20,ss8-ac20,"Centigram Communications, Corp",SNMP,7.0.2,SS8-AC20,,*,UNKNOWN
2019-03-07 16:28:39,juniper-j2350,juniper-j2350,Juniper Networks,SNMP,7.0.3,J2350,,*,ROUTER
2019-03-07 16:28:39,ibm-mm,ibm-mm,IBM,SNMP,7.0.3,ibm-mm,,*,UNKNOWN
2019-03-07 16:28:39,huawei-optix-osn-6800,huawei-optix-osn-6800,Huawei,TL1,7.0.2,Optix OSN 6800,,.*,MSPP
2019-03-07 16:28:39,extreme-blackdiamond-12000,extreme-blackdiamond-12000,"Extreme Networks, Inc.",SNMP,7.0.2,BlackDiamond 12000,,*,SWITCH
2019-03-07 16:28:39,ericsson-esn410,ericsson-esn410,Ericsson,SNMP,7.0.4,ESN410,,*,SWITCH
2019-03-07 16:28:39,ericsson-edn312xp,ericsson-edn312xp,Ericsson,SNMP,7.0.4,EDN312XP,,*,DSLAM
2019-03-07 16:28:39,emerson-netsure211,emerson-netsure211,EMERSON,SNMP,7.0.2,Netsure 211,,.*,POWER_EQUIPMENT
2019-03-07 16:28:39,ellacoya-e100,ellacoya-e100,Arbor Networks,SNMP,7.0.4,ellacoya-e100,,*,UNKNOWN
2019-03-07 16:28:39,cisco-12416,cisco-12416,"Cisco Systems, Inc",SNMP,7.0.4,Cisco 12416,,*,ROUTER
2019-03-07 16:28:39,ciena-5400,ciena-5400,Ciena,TL1,7.0.5,5400 Reconfigurable Switching System,,.*,SWITCH
2019-03-07 16:28:39,brocade-vdx6700,brocade-vdx6700,Brocade,SNMP,7.0.4,"VDX 6710, VDX 6720, VDX 6730",C,3.0.1a,SWITCH
2019-03-07 16:28:39,audiocodes-btx-4k,audiocodes-btx-4k,AudioCodes,SNMP,7.0.11,AudioCodes ORCA BTX-4K,,*,GATEWAY
2019-03-07 16:28:39,acmepacket-net-net-4000,acmepacket-net-net-4000,Acme Packet,SNMP,7.0.7,Acme Packet Net-Net 4000 Series,C,*,SBC
2019-03-07 16:28:39,a10thunder-3430,a10thunder-3430,A10 Networks,SNMP,7.0.4,thunder 3430,,*,UNKNOWN
2019-03-07 16:28:38,vecima-edge-modulator-v1102,vecima-edge-modulator-v1102,Vecima Networks,SNMP,7.0.2,Edge-Modulator,,v1102,VIDEO_PROCESSOR
2019-03-07 16:28:38,transition-networks-ionmm,transition-networks-ionmm,transition-networks,SNMP,7.0.2,,,*,UNKNOWN
2019-03-07 16:28:38,motorola-nc-1500,motorola-nc-1500,"Motorola, Inc",SNMP,7.0.7,Motorola NC-1500,C,*,SERVER
2019-03-07 16:28:38,juniper-srx,juniper-srx,Juniper Networks,SNMP,7.0.18,"SRX-100,SRX-220,SRX-550",D,*,GATEWAY
2019-03-07 16:28:38,foundry-bigiron-rx,foundry-bigiron-rx,Foundry Networks,SNMP,7.0.2,Foundry BigIron RX Series,,*,SWITCH
2019-03-07 16:28:38,fieldserver-quickserver,fieldserver-quickserver,FieldServer,SNMP,7.0.2,Fieldserver-Quickserver,,.*,GATEWAY
2019-03-07 16:28:38,ericsson-se600,ericsson-se600,Ericsson,SNMP,7.0.3,SE600,,*,ROUTER
2019-03-07 16:28:38,electroline-ecmm,electroline-ecmm,Electroline,SNMP,7.0.34,Electroline ECMM-02,,1.58,CABLE_MODEM
2019-03-07 16:28:38,dragonwave-horizon-compact,dragonwave-horizon-compact,Dragonwave,SNMP,7.0.11,Horizon Compact,C,*,MICROWAVE_RADIO
2019-03-07 16:28:38,cisco-ncs5501,cisco-ncs5501,"Cisco Systems, Inc",SNMP,7.0.7,NCS-5501-SE,C1,*,ROUTER
2019-03-07 16:28:38,cisco-mgx-8880,cisco-mgx-8880,"Cisco Systems, Inc",SNMP,7.0.3,MGX-8880,,*,SWITCH
2019-03-07 16:28:38,cisco-1841,cisco-1841,"Cisco Systems, Inc",SNMP,7.0.3,Router,,*,ROUTER
2019-03-07 16:28:38,adva-fsp-150cc,adva-fsp-150cc,ADVA,SNMP,7.0.8,FSP 150CC,,*,GATEWAY
2019-03-07 16:28:37,vmware,vmware,VMWare Inc,API,7.0.132,,,,
2019-03-07 16:28:37,ruckus-scg,ruckus-scg,"Ruckus Wireless, Inc.",SNMP,7.0.2,SCG,,*,SERVICE_CONTROLLER
2019-03-07 16:28:37,open-i-imci,open-i-imci,IMCI Technologies,SNMP,7.0.18,open-i-imci,C,*,MANAGER
2019-03-07 16:28:37,nortel-mscarrier-mscpassport,nortel-mscarrier-mscpassport,Nortel Networks,SNMP,7.0.3,Nortel MsCcarrier-MscPassport,,CH01B,MSSP
2019-03-07 16:28:37,nera-evolution,nera-evolution,NERA,SNMP,7.0.2,NERA-Evolution,,*,MICROWAVE_RADIO
2019-03-07 16:28:37,juniper-netscreen-isg2000,juniper-netscreen-isg2000,Juniper Networks,SNMP,7.0.4,NetScreen-ISG 2000,,*,FIREWALL
2019-03-07 16:28:37,dataprobe-ipio-8-v2,dataprobe-ipio-8-v2,Dataprobe Inc.,SNMP,7.0.2,iPIO-8,,*,UNKNOWN
2019-03-07 16:28:37,cisco-pixfirewall-506e,cisco-pixfirewall-506e,"Cisco Systems, Inc",SNMP,7.0.2,Cisco PIXfirewall 506 E,,*,FIREWALL
2019-03-07 16:28:37,cisco-3900,cisco-3900,"Cisco Systems, Inc",SNMP,7.0.9,"Cisco 3925, Cisco 3900 Integrated Services Routers",C,*,ROUTER
2019-03-07 16:28:37,ciena-online-metro,ciena-online-metro,Ciena,TL1,7.0.5,Online Metro,,.*,ADM
2019-03-07 16:28:37,bnt-gbesm,bnt-gbesm,BLADE Network Technologies,SNMP,7.0.2,bnt-gbesm,,*,SWITCH
2019-03-07 16:28:37,alcatel-6400,alcatel-6400,Alcatel,SNMP,7.0.24,OmniSwitch,C,6400,SWITCH
2019-03-07 16:28:37,alcatel-1665-dmx,alcatel-1665-dmx,Alcatel-Lucent,TL1,7.0.2,1665 DMX,,.*,MSPP
2019-03-07 16:28:37,adtran-opti-6100-mx,adtran-opti-6100-mx,Adtran,SNMP,7.0.14,Opti-6100 MX,C,.*,UNKNOWN
2019-03-07 16:28:37,3com-total-control,3com-total-control,3Com,SNMP,7.0.2,TOTAL-CONTROL-3COM,,,ROUTER
2019-03-07 16:28:36,vmware-vcenter-server,vmware-vcenter-server,"VMware, Inc.",SNMP,7.0.11,vmware-vcenter-server,C,*,SERVER
2019-03-07 16:28:36,motorola-dsr,motorola-dsr,Motorola,SNMP,7.0.2,Motorola DSR series receivers,,,CMTS
2019-03-07 16:28:36,motorola-bnc,motorola-bnc,"Motorola, Inc",SNMP,7.0.4,motorola-bnc,,*,UNKNOWN
2019-03-07 16:28:36,huawei-cmc,huawei-cmc,Huawei,SNMP,7.0.2,SmartAX MA5800,,*,CMTS
2019-03-07 16:28:36,fujitsu-flashwave-4100es-r10,fujitsu-flashwave-4100es-r10,Fujitsu,TL1,7.0.13,flashwave-4100es,C,.*,MSPP
2019-03-07 16:28:36,f5-big-ip,f5-big-ip,F5,SNMP,7.0.10,BIG IP IP Load Balancer/Failover Manager,C,,LOAD_BALANCER
2019-03-07 16:28:36,docs3.0-cisco-ubr-7246-vxr,docs3.0-cisco-ubr-7246-vxr,"Cisco Systems, Inc",SNMP,7.0.3,Cisco UBR 7246 VXR,,*,CMTS
2019-03-07 16:28:36,dantel-pointmaster-eagle,dantel-pointmaster-eagle,Dantel,SNMP,7.0.2,PointMaster,,*,UNKNOWN
2019-03-07 16:28:36,d-link-des-3226l,d-link-des-3226l,D-LINK,SNMP,7.0.2,DES-3226L SWITCH,,3226L,SWITCH
2019-03-07 16:28:36,cisco-d9850,cisco-d9850,Cisco,SNMP,7.0.7,Cisco-d9850,C,*,UNKNOWN
2019-03-07 16:28:36,cisco-asr1000,cisco-asr1000,"Cisco Systems, Inc",SNMP,7.0.18,Cisco ASR1000,D,*,ROUTER
2019-03-07 16:28:36,cisco-7140,cisco-7140,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 7140 VPN Router,,*,ROUTER
2019-03-07 16:28:36,cisco-2432,cisco-2432,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 2432 Integrated Access Device,,,GATEWAY
2019-03-07 16:28:36,alpha-system-controller,alpha-system-controller,Alpha Technologies,SNMP,7.0.15,alpha-system-controller,,*,UNKNOWN
2019-03-07 16:28:36,allied-telesis-9700,allied-telesis-9700,Allied-Telesis,SNMP,7.0.2,AT9700,,*,UNKNOWN
2019-03-07 16:28:35,telco-tmarc-3348s,telco-tmarc-3348s,Telco,SNMP,7.0.8,T-Marc 3348S,,3348s,DEMARCATION_DEVICE
2019-03-07 16:28:35,segway-stp,segway-stp,Performance Technologies,SNMP,7.0.5,SEGway STP,,*,SWITCH
2019-03-07 16:28:35,nortel-dfms,nortel-dfms,Nortel,ASCII,7.0.2,DFMS,,*,MANAGER
2019-03-07 16:28:35,motorola-astria-cp-1216,motorola-astria-cp-1216,"Motorola, Inc",SNMP,7.0.2,Astria CP-1216,,*,VIDEO_PROCESSOR
2019-03-07 16:28:35,lucent-wavestar-ols,lucent-wavestar-ols,Alcatel-Lucent,TL1,7.0.2,WaveStar OLS,,.*,MSPP
2019-03-07 16:28:35,juniper-srx-1400,juniper-srx-1400,Juniper Networks,SNMP,7.0.2,SRX-1400,,*,GATEWAY
2019-03-07 16:28:35,harmonic-cp9000,harmonic-cp9000,Harmonic Inc.,SNMP,7.0.8,Harmonic Vibe CP 9000,C1,*,UNKNOWN
2019-03-07 16:28:35,fujitsu-flashwave-4100,fujitsu-flashwave-4100,Fujitsu,TL1,7.0.11,flashwave-4100,C,.*,MSPP
2019-03-07 16:28:35,cisco-7200,cisco-7200,"Cisco Systems, Inc",SNMP,7.0.11,"cisco-7201,cisco7204VXR,cisco7206VXR",C,*,ROUTER
2019-03-07 16:28:35,cisco-4924,cisco-4924,"Cisco networks,Inc",SNMP,7.0.3,ME4924-10GE,,*,SWITCH
2019-03-07 16:28:35,cisco-2950,cisco-2950,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 2950 Switch,,*,SWITCH
2019-03-07 16:28:35,cisco-2821,cisco-2821,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 2821 Integrated Service Router,,*,ROUTER
2019-03-07 16:28:35,alcatel-1830-pss-snmp,alcatel-1830-pss-snmp,Alcatel-Lucent,SNMP,7.0.23,1830 PSS,B,,DWDM
2019-03-07 16:28:35,actelis-ml1300,actelis-ml1300,Actelis Networks,TL1,7.0.5,ML1300,,.*,MSPP
2019-03-07 16:28:34,tellabs-7100,tellabs-7100,Tellabs,TL1,7.0.2,Nano 7100,,.*,OSTP
2019-03-07 16:28:34,telco-3308,telco-3308,Telco Systems,SNMP,7.0.6,"T-Marc 3308, 3308H",,*,DEMARCATION_DEVICE
2019-03-07 16:28:34,symmetricom-ssu-2000-snmp,symmetricom-ssu-2000-snmp,SYMMETRICOM,SNMP,7.0.2,SSU2000,,.*,UNKNOWN
2019-03-07 16:28:34,sonus-sbc-5110,sonus-sbc-5110,Sonus,SNMP,7.0.5,SBC,C,5110,SBC
2019-03-07 16:28:34,oracle-db,oracle-db,Oracle,SNMP,7.0.3,oracle-db,,*,UNKNOWN
2019-03-07 16:28:34,nortel-dms-10,nortel-dms-10,Nortel,ASCII,7.0.2,"cs-1500,dms,dms-10",,"2.2,1.2",SWITCH
2019-03-07 16:28:34,force10-s50v,force10-s50v,FORCE10,SNMP,7.0.2,force10-s50v,,S50V,SWITCH
2019-03-07 16:28:34,extreme-summit-x250,extreme-summit-x250,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x250,,*,SWITCH
2019-03-07 16:28:34,dps-netguardian-g4-g5,dps-netguardian-g4-g5,DPS Telecom,SNMP,7.0.2,"Netguardian 420, Netguardian 480, Netguardian 832a, Netguardian 216f, Netguardian 864, Netguardian G5, Netguardian 420, Netguardian TNT G5, Netmediator T2S G5",C1,v4.2U,UNKNOWN
2019-03-07 16:28:34,docs3.0-thomson-modem-tcw850-4,docs3.0-thomson-modem-tcw850-4,Thomson,SNMP,7.0.2,Thomson TCW850-4,,,CABLE_MODEM
2019-03-07 16:28:34,docs3.0-cisco-modem-epc2325,docs3.0-cisco-modem-epc2325,Cisco,SNMP,7.0.2,Cisco EPC2325,,,CABLE_MODEM
2019-03-07 16:28:34,cisco-acs-1121,cisco-acs-1121,"Cisco Systems, Inc",SNMP,7.0.15,cisco-acs-1121,D,*,UNKNOWN
2019-03-07 16:28:34,cisco-800,cisco-800,"Cisco Systems, Inc",SNMP,7.0.7,"cisco 801,802,803,804,805",D,*,ROUTER
2019-03-07 16:28:34,calix-c7,calix-c7,Calix,TL1,7.0.10,C7,,.*,OSTP
2019-03-07 16:28:34,arris-me-7000,arris-me-7000,Arris,SNMP,7.0.2,ME-7000,,*,VIDEO_PLATFORM
2019-03-07 16:28:34,alpha-ups,alpha-ups,Alpha Technologies,SNMP,7.0.35,"ALPHA/XM2 MODEL DSM3,ALPHA/XM2-300 MODELS-(DPM,DSM3,DM3),ALPHA/XM3-915-HP MODELS-(DSM3,DMX3,DSMX3),ALPHA MODEL DSM3,ALPHA XM 1601,ALPHA XMS2 PS(EDSM)-(1600,1651)",,DSM33X-5.7.1mp1_02.12_02.11-NA,UPS
2019-03-07 16:28:34,alcatel-1675,alcatel-1675,Alcatel-Lucent,TL1,7.0.5,1675 Switch,,.*,SWITCH
2019-03-07 16:28:34,adtran-mx4,adtran-mx4,Adtran,SNMP,7.0.2,"MX408e, MX410, MX412",C1,*
2019-03-07 16:28:33,tems-nms,tems-nms,Tyco Electronics,SNMP,7.0.2,Tems-nms,,*,AGENT
2019-03-07 16:28:33,sonus-psx,sonus-psx,"Sonus Networks, Inc.",SNMP,7.0.2,SONUS-PSX,,*,UNKNOWN
2019-03-07 16:28:33,occam-on2364,occam-on2364,Occam Networks,SNMP,7.0.2,ON2364,,*,UNKNOWN
2019-03-07 16:28:33,nortel-sdms-oc3,nortel-sdms-oc3,Nortel,TL1,7.0.2,SDMS-OC3,,.*,MSPP
2019-03-07 16:28:33,nortel-ome-6110,nortel-ome-6110,NORTEL,TL1,7.0.5,.*Multiservice Edge 6110.*,,.*,MSTP
2019-03-07 16:28:33,lucent-wavestar-2.5g,lucent-wavestar-2.5g,Alcatel-Lucent,TL1,7.0.5,WaveStar 2.5G,,.*,MSPP
2019-03-07 16:28:33,juniper-mx-480,juniper-mx-480,"Juniper Networks, Inc",SNMP,7.0.17,MX480 Ethernet Services Router,B,*,ROUTER
2019-03-07 16:28:33,infoblox-250a,infoblox-250a,"Infoblox, Inc.",SNMP,7.0.2,ib250a,,*,SERVER
2019-03-07 16:28:33,harmonic-promedia-2100,harmonic-promedia-2100,Harmonics,SNMP,7.0.2,Promedia,,*,UNKNOWN
2019-03-07 16:28:33,foundry-rx16,foundry-rx16,Foundry Networks,SNMP,7.0.2,Foundry BigIron RX Series,,*,SWITCH
2019-03-07 16:28:33,fortinet-fortigate,fortinet-fortigate,"FortiNet, Inc",SNMP,7.0.1,Fortinet Fortigate,,*,FIREWALL
2019-03-07 16:28:33,ericsson-evr,ericsson-evr,Ericsson,SNMP,7.0.3,EVR,,*,VIRTUAL_MACHINE
2019-03-07 16:28:33,eci-st50,eci-st50,ECI Telecom,SNMP,7.0.2,ECI-ST50,,*,ROUTER
2019-03-07 16:28:33,cisco-vpn-3000,cisco-vpn-3000,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 3000 VPN Concentrator,,,VPN
2019-03-07 16:28:33,cisco-isr2900,cisco-isr2900,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 2900 Series Integrated Services Router,,*,ROUTER
2019-03-07 16:28:33,cisco-4700,cisco-4700,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 4700 Router,,*,ROUTER
2019-03-07 16:28:33,calix-b6-214,calix-b6-214,Calix,SNMP,7.0.2,B6-214,,*,ACCESS_POINT
2019-03-07 16:28:33,airframe-server,airframe-server,NOKIA,SNMP,7.0.2,airframe-server,,*,UNKNOWN
2019-03-07 16:28:33,aastra-videorunner,aastra-videorunner,Aastra Technologies,SNMP,7.0.10,"aastra-videorunner-300, aastra-videorunner-1700",C,*,UNKNOWN
2019-03-07 16:28:32,procera-packetlogic,procera-packetlogic,Procera Networks,SNMP,7.0.7,PacketLogic,C,*,UNKNOWN
2019-03-07 16:28:32,nortel-gsm-umts-mg,nortel-gsm-umts-mg,Nortel,ASCII,7.0.2,GSM UMTS MG,,*,SWITCH
2019-03-07 16:28:32,evertz-7800,evertz-7800,Evertz,SNMP,7.0.2,evertz-fc,,7800,UNKNOWN
2019-03-07 16:28:32,ericsson-sgsn,ericsson-sgsn,Ericsson,SNMP,7.0.2,SGSN,,,AGENT
2019-03-07 16:28:32,ericsson-epn212,ericsson-epn212,Ericsson,SNMP,7.0.2,EPN212,,*,UNKNOWN
2019-03-07 16:28:32,docs3.0-motorola-modem-sb5101ne,docs3.0-motorola-modem-sb5101ne,Motorola,SNMP,7.0.2,Motorola SB5101NE,,,CABLE_MODEM
2019-03-07 16:28:32,cisco-2600,cisco-2600,"Cisco Systems, Inc",SNMP,7.0.12,"Cisco 2600,2610,2611,2620,2621,2651,2611xm,2621xm",D,*,ROUTER
2019-03-07 16:28:32,cisco-10012,cisco-10012,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 10012,,*,CMTS
2019-03-07 16:28:32,brocade-fastiron-sx800,brocade-fastiron-sx800,Foundry Networks,SNMP,7.0.2,Foundry Networks,,*,SWITCH
2019-03-07 16:28:32,avaya-sr-1000,avaya-sr-1000,Nortel Networks,SNMP,7.0.16,avaya-sr-1000,D,*,ROUTER
2019-03-07 16:28:32,adtran-netvanta-6000,adtran-netvanta-6000,adtran,SNMP,7.0.2,netvanta,,6000,ROUTER
2019-03-07 16:28:31,zhone-mxk,zhone-mxk,Zhone Technologies,SNMP,7.0.5,Zhone-MXK,,*,MSPP
